#Frame      Mode1    Mode2    Mode3
     567 -299.423  115.251 -134.010
     568 -300.186  114.050 -133.141
     569 -298.476  113.925 -135.557
     570 -299.533  112.246 -137.930
     571 -301.165  108.436 -136.673
     572 -298.684  110.809 -133.702
     573 -300.603  110.062 -134.044
     574 -300.012  109.127 -134.804
     575 -299.012  112.224 -134.211
     576 -296.876  114.126 -134.031
     577 -296.957  111.397 -131.906
     578 -298.541  110.000 -131.472
     579 -296.574  111.464 -134.358
     580 -297.178  110.145 -136.287
     581 -296.634  107.005 -135.452
     582 -296.116  111.539 -135.380
     583 -295.370  110.331 -135.353
     584 -298.135  111.502 -136.728
     585 -296.824  112.478 -135.350
     586 -295.358  113.206 -132.551
     587 -298.535  108.882 -131.407
     588 -295.857  108.773 -132.713
     589 -297.831  105.401 -131.949
     590 -297.130  103.518 -136.212
     591 -299.810  103.818 -136.816
     592 -298.583  105.092 -138.065
     593 -299.225  105.694 -137.651
     594 -298.101  108.988 -139.599
     595 -299.963  108.178 -140.730
     596 -296.673  107.805 -141.806
     597 -295.078  109.490 -143.611
     598 -293.717  110.179 -139.693
     599 -292.610  111.405 -140.956
     600 -294.692  111.394 -143.022
     601 -296.431  108.186 -145.032
     602 -295.452  109.442 -142.177
     603 -293.958  110.801 -143.032
     604 -297.212  109.378 -145.652
     605 -296.426  109.376 -146.221
     606 -295.019  107.883 -148.226
     607 -298.430  107.416 -147.102
     608 -298.367  109.257 -145.714
     609 -299.052  110.103 -144.728
     610 -295.268  107.483 -144.223
     611 -293.639  105.673 -146.293
     612 -292.502  108.250 -147.246
     613 -293.989  106.775 -147.296
     614 -290.879  110.519 -149.905
     615 -292.308  112.480 -149.575
     616 -293.217  111.408 -150.473
     617 -291.973  110.968 -148.153
     618 -295.403  109.900 -145.325
     619 -295.152  108.948 -144.452
     620 -298.121  109.609 -147.439
     621 -298.035  108.355 -149.040
     622 -297.814  109.082 -148.870
     623 -297.892  106.012 -147.570
     624 -296.556  105.469 -145.227
     625 -298.051  107.895 -143.837
     626 -297.811  106.618 -144.179
     627 -296.869  106.992 -143.890
     628 -298.629  103.652 -145.699
     629 -296.678  108.071 -140.704
     630 -296.700  107.135 -142.645
     631 -298.515  106.653 -142.054
     632 -296.578  107.645 -142.736
     633 -298.943  106.178 -142.904
     634 -300.385  105.740 -143.677
     635 -301.425  106.486 -144.143
     636 -299.644  106.025 -141.566
     637 -301.361  108.134 -138.650
     638 -299.691  109.998 -140.014
     639 -300.124  108.722 -141.523
     640 -300.175  111.972 -141.797
     641 -298.200  110.934 -143.666
     642 -300.361  112.888 -139.277
     643 -300.428  109.514 -139.767
     644 -298.858  109.446 -136.900
     645 -298.709  109.252 -137.742
     646 -295.666  108.561 -136.966
     647 -295.307  108.857 -138.596
     648 -297.115  110.168 -138.517
     649 -299.256  107.133 -139.777
     650 -295.934  106.886 -137.982
     651 -295.124  105.521 -137.919
     652 -295.852  107.289 -137.470
     653 -296.353  107.694 -135.421
     654 -297.836  109.437 -138.255
     655 -297.703  110.550 -137.210
     656 -297.538  109.407 -137.953
     657 -296.826  112.461 -136.160
     658 -296.888  114.442 -133.134
     659 -293.621  113.473 -133.303
     660 -295.085  114.957 -132.570
     661 -293.625  114.498 -132.840
     662 -290.717  116.467 -131.304
     663 -292.531  114.267 -132.176
     664 -293.330  113.734 -132.321
     665 -291.178  111.054 -130.288
     666 -293.502  114.030 -131.542
     667 -292.418  113.111 -134.238
     668 -293.341  114.667 -133.620
     669 -295.004  113.193 -133.018
     670 -291.978  115.177 -138.363
     671 -291.701  113.402 -138.184
     672 -293.310  112.307 -139.696
     673 -292.866  114.331 -142.086
     674 -293.023  116.654 -142.823
     675 -293.433  118.043 -144.181
     676 -292.405  118.749 -145.240
     677 -291.184  118.042 -143.730
     678 -292.434  118.990 -143.761
     679 -293.661  118.897 -144.019
     680 -293.338  118.675 -148.124
     681 -293.449  116.696 -151.644
     682 -292.876  114.000 -149.884
     683 -293.232  115.979 -146.932
     684 -294.770  114.803 -147.923
     685 -293.783  116.238 -145.538
     686 -293.741  115.835 -148.909
     687 -293.877  116.264 -147.121
     688 -293.417  119.192 -145.538
     689 -294.316  114.720 -146.356
     690 -294.005  115.576 -148.743
     691 -295.858  114.235 -149.020
     692 -295.697  112.175 -150.809
     693 -294.715  114.541 -151.371
     694 -296.234  110.692 -149.429
     695 -299.965  113.946 -151.807
     696 -298.919  112.782 -152.226
     697 -297.509  113.277 -148.280
     698 -296.774  114.351 -148.655
     699 -295.933  114.220 -149.682
     700 -297.727  113.770 -149.193
     701 -297.254  109.871 -150.318
     702 -297.687  110.689 -150.475
     703 -297.965  111.718 -150.528
     704 -301.160  112.295 -152.391
     705 -299.333  113.251 -150.440
     706 -299.349  113.258 -153.552
     707 -301.604  112.097 -153.359
     708 -297.906  114.421 -153.700
     709 -295.314  111.138 -151.310
     710 -296.027  114.076 -153.054
     711 -297.702  115.669 -152.369
     712 -295.698  114.474 -153.431
     713 -296.153  111.173 -152.557
     714 -296.395  110.627 -152.879
     715 -294.942  108.244 -149.724
     716 -296.506  108.028 -146.486
     717 -297.933  108.671 -150.527
     718 -299.899  109.842 -152.943
     719 -298.787  111.136 -150.216
     720 -299.365  108.596 -153.785
     721 -301.643  105.967 -155.630
     722 -302.392  106.489 -157.702
     723 -300.999  110.474 -157.667
     724 -301.352  109.708 -156.248
     725 -298.242  112.402 -157.475
     726 -299.608  108.242 -157.628
     727 -300.602  108.200 -158.064
     728 -300.382  109.021 -158.839
     729 -298.728  108.901 -157.839
     730 -298.682  108.406 -160.160
     731 -298.155  110.208 -159.884
     732 -299.194  111.143 -161.097
     733 -299.262  113.538 -161.194
     734 -302.280  113.479 -163.538
     735 -299.697  112.832 -166.740
     736 -299.134  114.020 -167.880
     737 -300.230  109.250 -164.878
     738 -302.450  109.181 -166.497
     739 -299.828  108.536 -163.196
     740 -301.093  107.265 -164.657
     741 -301.451  105.529 -163.268
     742 -302.767  108.004 -161.904
     743 -301.778  106.965 -160.659
     744 -300.006  105.055 -157.395
     745 -300.758  106.116 -159.831
     746 -300.456  103.786 -158.362
     747 -300.003  103.364 -156.625
     748 -301.427  104.622 -155.065
     749 -301.840  105.690 -156.609
     750 -300.145  106.462 -156.768
     751 -303.059  105.991 -157.009
     752 -302.005  104.396 -157.280
     753 -303.209  106.550 -155.221
     754 -305.453  104.154 -159.129
     755 -303.369  103.872 -158.928
     756 -304.872  103.989 -159.200
     757 -303.162  104.122 -159.736
     758 -305.759  107.654 -158.280
     759 -304.351  104.288 -156.658
     760 -304.390  107.667 -157.178
     761 -303.542  107.499 -155.614
     762 -304.096  108.615 -153.278
     763 -301.859  107.342 -153.187
     764 -302.926  107.309 -156.589
     765 -305.027  106.702 -159.379
     766 -304.690  106.072 -159.721
     767 -305.819  106.366 -158.201
     768 -305.427  106.710 -158.112
     769 -304.137  107.757 -160.848
     770 -304.800  105.154 -156.748
     771 -307.254  107.005 -158.120
     772 -303.237  103.176 -162.137
     773 -307.304  101.158 -164.204
     774 -304.905   99.975 -161.443
     775 -305.569  103.583 -158.783
     776 -308.544  100.570 -157.264
     777 -307.740  101.144 -159.884
     778 -305.458  102.797 -160.334
     779 -304.504  102.616 -161.708
     780 -304.337  103.009 -158.734
     781 -307.549  105.077 -159.715
     782 -306.984  103.774 -156.969
     783 -305.501  105.620 -155.622
     784 -305.462  103.345 -157.980
     785 -306.271  100.304 -158.097
     786 -305.808   98.911 -155.066
     787 -306.950  101.711 -154.357
     788 -307.583   96.599 -154.166
     789 -306.227   96.456 -154.294
     790 -306.298   95.879 -152.842
     791 -307.721   93.616 -153.684
     792 -308.494   94.947 -151.928
     793 -308.571   94.511 -153.076
     794 -307.735   93.897 -153.413
     795 -309.614   96.881 -154.189
     796 -312.082   98.842 -155.322
     797 -311.418   99.139 -156.608
     798 -310.561   99.304 -155.507
     799 -309.342   98.096 -155.345
     800 -308.346   96.130 -155.346
     801 -311.519   99.809 -156.800
     802 -306.972  103.179 -158.467
     803 -306.234  103.376 -156.685
     804 -308.309  104.457 -155.606
     805 -306.864  104.216 -153.059
     806 -307.064  103.553 -151.289
     807 -304.830  104.930 -151.344
     808 -306.691  105.790 -153.781
     809 -304.123  105.640 -151.254
     810 -306.285  101.753 -155.585
     811 -306.135  104.283 -154.742
     812 -305.137  104.123 -153.814
     813 -305.879  104.533 -151.802
     814 -305.815  104.513 -153.156
     815 -306.413  104.112 -154.310
     816 -305.543  105.652 -157.353
     817 -304.476  104.924 -152.867
     818 -305.866  102.930 -152.287
     819 -306.515   98.952 -154.580
