#Frame      Mode1    Mode2    Mode3
     680 -167.179  172.866   30.694
     681 -168.252  174.596   34.214
     682 -167.945  173.320   30.504
     683 -168.785  171.783   31.168
     684 -170.353  170.738   33.961
     685 -170.749  172.898   35.806
     686 -168.673  169.937   38.154
     687 -166.340  168.273   38.022
     688 -166.310  168.580   38.898
     689 -165.294  164.859   39.311
     690 -165.504  165.916   40.140
     691 -165.668  162.297   42.563
     692 -166.186  161.284   42.654
     693 -163.430  161.005   41.123
     694 -161.707  161.530   42.680
     695 -163.951  155.723   42.264
     696 -162.983  157.785   41.243
     697 -162.118  157.527   43.557
     698 -162.257  157.881   41.125
     699 -161.949  161.426   43.043
     700 -163.510  161.018   41.692
     701 -166.320  161.119   41.094
     702 -165.869  161.987   42.901
     703 -167.974  162.833   43.524
     704 -165.130  161.590   43.775
     705 -165.916  162.375   44.473
     706 -165.867  159.468   46.682
     707 -167.964  156.293   46.492
     708 -170.238  159.672   46.362
     709 -168.565  158.894   46.385
     710 -165.322  159.920   42.630
     711 -162.867  162.850   44.613
     712 -163.317  162.460   43.710
     713 -161.653  164.804   48.031
     714 -159.454  163.879   46.275
     715 -162.281  164.031   47.142
     716 -159.657  159.098   44.537
     717 -160.108  159.945   43.097
     718 -158.467  159.960   44.233
     719 -159.563  161.392   42.223
     720 -158.276  161.028   41.999
     721 -159.763  162.018   40.352
     722 -156.535  163.346   38.533
     723 -154.410  162.038   36.107
     724 -154.906  161.138   39.046
     725 -158.918  160.025   40.860
     726 -159.633  162.840   36.904
     727 -160.248  160.179   39.587
     728 -160.560  160.654   37.945
     729 -163.620  164.007   43.109
     730 -160.858  163.838   40.956
     731 -165.135  162.617   39.904
     732 -168.676  159.192   40.056
     733 -167.784  157.633   43.322
     734 -167.986  160.303   39.979
     735 -173.333  158.756   40.024
     736 -170.680  158.544   41.372
     737 -171.246  159.688   42.423
     738 -172.928  159.548   40.196
     739 -174.759  160.597   37.969
     740 -174.543  163.626   36.774
     741 -173.636  160.374   39.881
     742 -177.090  160.244   38.200
     743 -177.952  160.480   36.612
     744 -177.835  159.234   36.116
     745 -178.021  160.332   37.036
     746 -179.481  158.763   39.136
     747 -182.894  158.191   41.221
     748 -182.549  155.363   43.370
     749 -177.018  158.501   41.904
     750 -178.262  156.912   42.949
     751 -176.936  158.662   40.490
     752 -175.558  158.280   42.875
     753 -175.151  157.699   44.539
     754 -178.077  157.870   41.576
     755 -176.020  161.199   39.250
     756 -176.095  160.987   40.815
     757 -176.093  160.103   41.725
     758 -175.538  160.626   42.285
     759 -174.075  161.319   40.593
     760 -177.697  162.132   39.173
     761 -179.840  164.463   40.287
     762 -181.174  162.549   44.601
     763 -177.599  162.014   42.679
     764 -178.924  161.247   44.451
     765 -178.383  164.555   39.064
     766 -180.362  163.730   40.011
     767 -181.222  162.678   40.407
     768 -183.095  159.036   39.244
     769 -181.819  163.813   39.611
     770 -179.764  166.115   39.502
     771 -180.876  165.460   36.663
     772 -181.581  165.648   35.859
     773 -180.642  162.964   34.412
     774 -176.457  162.065   37.276
     775 -176.773  162.065   34.881
     776 -178.951  162.015   35.964
     777 -176.815  163.544   33.257
     778 -177.561  164.831   29.950
     779 -176.542  165.389   28.969
     780 -176.814  168.996   28.593
     781 -177.817  165.518   29.322
     782 -181.017  168.522   26.107
     783 -180.655  168.222   26.718
     784 -178.528  165.683   26.120
     785 -177.006  165.420   28.168
     786 -176.343  167.075   27.950
     787 -172.431  165.675   27.067
     788 -173.181  164.839   25.631
     789 -172.144  165.580   24.756
     790 -173.533  161.806   27.218
     791 -174.792  157.404   28.992
     792 -172.243  158.813   31.453
     793 -171.439  159.186   33.906
     794 -172.492  158.665   33.491
     795 -173.126  157.681   34.730
     796 -176.709  155.450   33.998
     797 -181.837  157.394   34.021
     798 -181.483  152.850   36.947
     799 -185.048  151.618   34.724
     800 -181.697  152.216   36.158
     801 -183.289  150.996   38.194
     802 -181.491  150.228   39.010
     803 -178.686  151.976   39.527
     804 -180.393  152.813   38.231
     805 -177.274  154.936   36.982
     806 -179.088  152.915   36.617
     807 -180.836  152.755   36.450
     808 -181.832  153.893   32.958
     809 -178.827  154.697   33.594
     810 -178.575  154.259   34.539
     811 -177.811  153.327   36.781
     812 -176.385  150.238   38.662
     813 -173.451  152.774   38.280
     814 -175.511  153.057   34.175
     815 -174.617  155.357   33.550
     816 -176.654  152.066   33.870
     817 -175.023  151.143   33.083
     818 -177.382  145.500   33.416
     819 -178.136  148.184   36.220
     820 -175.840  146.287   37.463
     821 -174.842  147.239   37.615
     822 -175.166  144.408   40.929
     823 -179.176  146.413   39.006
     824 -179.015  144.019   38.256
     825 -179.575  143.535   36.645
     826 -181.763  144.095   38.931
     827 -181.658  142.184   38.014
     828 -180.593  138.160   38.304
     829 -182.839  144.075   36.159
     830 -182.520  142.864   31.617
     831 -183.573  143.991   31.528
     832 -182.268  146.383   30.524
     833 -180.634  143.887   34.496
     834 -181.035  142.665   35.796
     835 -177.229  141.086   36.951
     836 -180.900  142.484   36.614
     837 -182.945  140.511   38.225
     838 -186.075  140.718   37.418
     839 -188.265  141.241   35.172
     840 -187.218  138.892   34.362
     841 -186.122  139.213   36.253
     842 -186.156  136.890   35.566
     843 -182.454  138.935   35.908
     844 -185.373  143.863   34.928
     845 -186.106  142.200   34.907
     846 -184.733  141.306   31.553
     847 -181.612  140.962   33.010
     848 -184.882  141.308   32.976
     849 -184.442  141.775   33.936
     850 -186.868  143.805   33.263
     851 -188.678  139.104   34.383
     852 -190.973  138.199   34.624
     853 -188.661  139.460   34.242
     854 -187.849  139.191   34.470
     855 -188.314  137.297   33.862
     856 -191.417  139.670   32.371
     857 -193.666  140.078   31.763
     858 -190.283  139.508   31.883
     859 -191.152  141.048   31.000
     860 -188.251  145.140   28.287
     861 -190.100  142.161   29.184
     862 -190.225  144.428   31.260
     863 -193.397  143.232   32.300
