#Frame      Mode1    Mode2    Mode3
     305 -297.483  110.064  -92.304
     306 -299.049  109.049  -92.574
     307 -299.609  111.667  -90.753
     308 -299.014  109.947  -92.670
     309 -299.471  107.890  -91.762
     310 -299.567  109.352  -90.927
     311 -298.346  107.930  -91.194
     312 -297.939  112.091  -90.002
     313 -299.168  114.303  -90.151
     314 -299.070  112.622  -91.753
     315 -298.157  110.281  -92.085
     316 -298.541  109.857  -91.612
     317 -297.034  113.042  -93.621
     318 -296.365  114.351  -90.898
     319 -295.299  113.812  -94.171
     320 -295.307  112.112  -91.241
     321 -294.954  112.554  -90.133
     322 -298.414  112.676  -93.400
     323 -296.768  113.755  -94.773
     324 -298.290  113.961  -96.292
     325 -298.911  113.968  -94.600
     326 -297.669  114.858  -97.648
     327 -300.847  113.075  -96.838
     328 -299.081  113.331  -94.963
     329 -300.472  117.521  -96.014
     330 -299.982  112.620  -95.590
     331 -299.033  111.812  -93.778
     332 -301.407  110.842  -96.506
     333 -303.510  113.317  -98.135
     334 -301.742  108.770 -100.666
     335 -303.734  108.554  -99.854
     336 -302.023  109.371  -98.020
     337 -299.863  106.899  -99.367
     338 -298.584  104.980 -101.214
     339 -299.105  109.060  -97.539
     340 -302.619  105.420  -96.200
     341 -303.706  104.915  -93.749
     342 -302.091  104.294  -93.920
     343 -303.864  102.471  -91.931
     344 -304.911   99.493  -91.558
     345 -302.706   99.449  -92.375
     346 -305.261   96.972  -95.490
     347 -304.125  102.812  -93.211
     348 -304.071  102.433  -94.073
     349 -301.380  102.183  -89.319
     350 -302.803  103.195  -91.737
     351 -303.935  104.484  -87.969
     352 -301.956  105.180  -86.446
     353 -300.472  106.785  -85.716
     354 -299.692  109.003  -84.080
     355 -301.916  107.786  -85.049
     356 -301.833  107.258  -87.459
     357 -302.199  108.889  -92.893
     358 -301.736  109.013  -91.699
     359 -299.622  107.272  -91.446
     360 -299.864  109.747  -90.378
     361 -299.585  110.373  -88.814
     362 -297.985  110.679  -85.714
     363 -299.099  112.955  -86.115
     364 -301.479  110.891  -86.718
     365 -300.569  108.431  -85.038
     366 -301.648  110.326  -87.471
     367 -302.063  107.985  -89.685
     368 -300.085  108.522  -90.430
     369 -303.318  111.442  -88.016
     370 -301.245  111.042  -87.906
     371 -301.411  111.157  -92.146
     372 -302.455  112.946  -88.798
     373 -301.938  109.871  -92.653
     374 -300.717  111.203  -94.551
     375 -299.442  110.340  -97.434
     376 -298.442  108.600 -100.785
     377 -297.879  107.547  -99.776
     378 -298.140  106.238  -98.927
     379 -297.034  106.892 -101.846
     380 -297.861  108.754 -104.472
     381 -298.519  106.250 -104.039
     382 -298.493  107.782 -102.930
     383 -296.151  105.981 -101.970
     384 -296.483  105.111 -100.726
     385 -297.565  102.538 -100.982
     386 -298.419  103.136 -100.054
     387 -295.796  101.974 -101.355
     388 -299.333  102.106 -102.427
     389 -298.942  103.011 -101.332
     390 -296.180  103.062 -101.504
     391 -295.403  103.413  -98.224
     392 -297.408  102.763  -99.278
     393 -299.006  105.539 -101.872
     394 -296.052  103.673 -102.239
     395 -296.441  107.509 -100.137
     396 -297.088  106.337 -101.841
     397 -295.334  104.659 -107.541
     398 -297.192  103.025 -107.335
     399 -296.322  106.522 -105.513
     400 -298.656  109.214 -104.660
     401 -296.857  107.675 -102.110
     402 -298.627  103.304 -103.767
