#Frame      Mode1    Mode2    Mode3
     450  -12.523  176.567  104.976
     451  -13.980  180.547  105.381
     452  -15.474  178.992  105.904
     453  -13.355  180.237  103.974
     454  -15.321  179.782  104.463
     455  -12.528  182.068   99.885
     456  -12.977  179.295  100.766
     457  -11.918  178.219   98.287
     458  -12.582  183.006   97.721
     459  -13.785  181.821   96.156
     460  -12.828  181.592   99.205
     461  -16.904  181.567  102.586
     462  -17.674  181.076  102.541
     463  -18.672  184.312  102.749
     464  -17.804  182.300  103.852
     465  -16.605  180.307  102.840
     466  -18.260  182.720   99.707
     467  -18.549  180.320  103.329
     468  -16.345  177.130  103.170
     469  -15.656  178.103  101.395
     470  -18.338  178.501  102.900
     471  -18.580  177.310  101.335
     472  -20.268  178.495  101.690
     473  -19.802  177.410  102.779
     474  -20.617  175.656  100.306
     475  -20.017  176.251   97.041
     476  -18.681  177.617   97.725
     477  -17.339  178.888   97.816
     478  -18.925  175.160  102.319
     479  -21.054  174.522  100.452
     480  -15.000  177.011   98.099
     481  -16.076  176.133   97.385
     482  -18.756  177.503   98.427
     483  -15.838  174.635  100.672
     484  -13.000  179.733   97.815
     485  -12.824  178.513   99.050
     486  -15.957  175.473   99.386
     487  -14.243  180.384   99.436
     488  -12.611  181.345  101.362
     489  -12.884  179.219   96.104
     490  -12.681  178.101   94.500
     491   -8.733  178.694   92.940
     492   -7.046  177.324   91.295
     493   -8.814  176.506   89.888
     494   -7.391  176.796   89.797
     495   -6.738  178.282   91.255
     496   -9.852  175.992   90.115
     497   -9.242  176.052   90.661
     498  -10.105  177.320   91.640
     499   -6.708  176.996   88.774
     500   -7.751  176.653   88.904
     501   -6.270  176.658   87.669
     502   -7.435  176.800   87.144
     503   -9.576  175.723   88.615
     504   -9.573  177.727   90.254
     505  -13.122  181.886   88.492
     506   -9.411  183.147   89.971
     507  -11.699  184.151   90.805
     508  -12.532  181.830   92.092
     509  -15.974  181.284   95.722
     510  -18.063  181.535   94.607
     511  -19.003  183.415   92.711
     512  -19.051  185.216   90.846
     513  -13.243  184.676   94.661
     514  -17.647  182.820   95.447
     515  -18.494  182.858   95.545
     516  -17.141  182.326   92.421
     517  -15.874  178.647   89.044
     518  -14.107  178.820   90.875
     519  -14.149  175.865   91.802
     520   -9.081  177.126   90.449
     521  -10.796  176.789   87.295
     522  -13.078  176.997   92.320
     523  -12.865  176.016   91.704
     524  -15.620  174.307   94.703
     525  -18.960  172.164   94.650
     526  -17.484  173.434   92.740
     527  -20.756  175.363   99.277
     528  -19.732  174.917   99.039
     529  -20.742  174.052   98.085
     530  -20.388  176.353   96.259
     531  -24.236  177.242   97.021
     532  -22.520  177.501   99.022
     533  -21.439  176.755   96.934
     534  -18.845  178.390   96.444
     535  -21.083  177.208   92.971
     536  -23.005  179.356   91.312
     537  -24.196  179.979   92.190
     538  -22.193  177.450   92.213
     539  -20.655  179.471   92.545
     540  -21.064  180.828   93.789
     541  -24.012  180.327   96.374
     542  -23.439  179.317   96.328
     543  -25.495  175.961   95.737
     544  -24.414  176.606   95.856
     545  -23.447  178.550   94.192
     546  -26.143  179.745   91.528
     547  -28.022  176.184   90.835
     548  -25.124  176.090   90.163
     549  -26.294  175.476   90.543
     550  -22.623  175.982   91.861
     551  -22.670  177.543   88.102
     552  -22.308  176.669   90.944
     553  -21.897  176.293   86.136
     554  -20.062  175.507   86.502
     555  -19.886  176.445   88.768
     556  -20.363  176.359   87.592
     557  -18.809  176.833   86.612
     558  -21.595  177.007   87.279
     559  -21.342  176.848   89.412
     560  -20.560  174.962   87.656
     561  -21.011  175.211   88.991
     562  -18.474  178.299   87.243
     563  -22.793  178.651   91.786
     564  -24.199  178.905   90.707
     565  -23.698  179.464   92.342
     566  -22.219  177.183   94.101
     567  -22.867  179.524   93.280
     568  -25.179  178.866   98.261
     569  -23.286  179.989   97.609
     570  -23.733  179.604  101.620
     571  -23.141  179.882  101.371
     572  -24.581  180.210   97.469
     573  -24.394  180.184   95.861
     574  -24.713  181.109   98.176
     575  -29.004  180.287   97.914
     576  -28.430  178.365  100.234
     577  -28.286  178.133  101.526
     578  -28.097  178.134  101.592
     579  -27.721  177.788  102.737
     580  -30.945  178.640   99.428
     581  -31.056  181.144  101.222
     582  -29.598  181.137   99.721
     583  -29.524  180.615   97.292
     584  -27.354  181.036   98.295
     585  -28.931  183.407   98.848
     586  -25.487  181.783   98.717
     587  -25.309  182.888   99.060
     588  -21.813  182.343   98.274
     589  -18.352  183.248   94.933
     590  -16.530  182.786   96.325
     591  -19.306  179.872   99.771
     592  -20.795  180.228   98.583
     593  -18.167  181.849   99.535
     594  -18.684  181.691   96.032
     595  -22.757  185.498   96.515
     596  -20.662  185.348   93.398
     597  -21.081  185.730   96.186
     598  -23.295  183.444   97.706
     599  -25.203  186.924   97.818
     600  -25.839  186.170   99.020
     601  -28.095  184.649   98.238
     602  -28.008  187.688   99.860
     603  -27.344  187.993   99.462
     604  -25.702  191.230  100.314
     605  -25.137  189.879  101.204
     606  -28.001  186.695  101.631
     607  -28.259  188.689  101.776
     608  -31.239  188.196   99.992
     609  -33.732  186.718  101.730
     610  -33.695  186.578  103.494
     611  -37.018  184.873  102.768
     612  -36.222  183.896  103.318
     613  -37.141  183.736  101.936
     614  -32.154  186.341  102.292
     615  -32.960  186.721  100.096
     616  -32.967  184.469  103.912
     617  -31.593  183.870  102.830
     618  -28.497  185.697  102.227
     619  -29.956  185.736  104.317
     620  -30.152  185.308  106.732
     621  -28.355  183.364  105.646
     622  -29.323  183.319  109.821
     623  -30.206  183.568  107.439
     624  -27.016  184.097  105.398
     625  -29.252  184.418  103.773
     626  -27.705  185.364  104.543
     627  -26.717  186.421  103.540
     628  -27.166  183.570  103.312
     629  -28.221  184.992  102.952
     630  -25.553  183.439   99.758
     631  -24.774  184.622   98.263
     632  -26.625  186.111   97.908
     633  -28.089  188.410   95.835
     634  -26.044  188.658   97.401
     635  -28.105  189.624   97.542
     636  -25.987  188.858   97.334
     637  -28.967  184.790  102.020
     638  -27.209  182.964  101.762
     639  -28.501  188.317  100.339
     640  -27.714  184.963   99.429
     641  -26.737  184.279  103.088
     642  -25.937  185.120   99.428
     643  -24.944  187.228   99.822
     644  -28.328  189.922  101.941
     645  -26.921  188.790  103.994
     646  -24.332  187.825  102.631
     647  -25.413  188.135  102.764
     648  -29.722  190.105  104.445
     649  -27.902  190.282  106.421
     650  -28.484  188.876  109.923
     651  -31.790  189.261  108.848
     652  -32.968  187.568  109.373
     653  -29.485  188.189  109.002
     654  -31.052  188.661  107.382
     655  -32.940  187.042  107.210
     656  -31.775  186.805  108.035
     657  -28.635  186.268  107.194
     658  -28.819  187.570  107.438
     659  -28.777  186.093  104.923
     660  -27.635  187.298  103.893
     661  -26.009  185.548  101.940
     662  -25.935  186.983  101.813
     663  -23.865  190.358  101.299
     664  -25.145  192.851  102.458
     665  -28.994  195.134  102.988
     666  -27.412  195.476  102.812
     667  -25.477  196.703  105.400
     668  -26.355  196.416  106.079
     669  -26.488  195.269  103.110
     670  -22.855  194.478  100.709
     671  -23.272  193.509   97.168
     672  -21.836  194.130   94.634
     673  -19.770  195.017   93.187
     674  -21.692  194.060   91.408
     675  -23.325  193.589   93.342
     676  -22.621  191.904   92.803
     677  -20.641  192.380   91.963
     678  -21.529  189.759   95.012
     679  -22.163  188.283   94.489
     680  -19.251  188.414   94.156
     681  -23.860  186.087   95.854
     682  -22.161  184.976   96.150
     683  -21.967  183.109  100.698
     684  -24.063  183.758  100.132
     685  -23.259  187.428  100.694
     686  -21.577  187.066  100.746
     687  -15.370  184.352   97.690
     688  -20.015  185.320   98.018
     689  -18.797  188.056   93.901
     690  -21.416  187.896   97.422
     691  -17.004  187.675   95.963
     692  -18.063  187.038   92.722
     693  -16.766  187.620   90.126
     694  -13.760  185.113   91.014
     695  -16.354  186.350   91.047
     696  -15.581  185.810   90.497
     697  -17.314  186.999   88.837
     698  -19.252  185.110   89.574
     699  -14.997  186.593   86.980
     700  -12.155  187.772   85.161
     701  -15.228  188.953   83.062
     702  -15.945  189.483   83.160
     703  -16.638  186.416   82.278
     704  -14.557  188.018   83.088
     705  -16.933  184.298   81.531
     706  -18.965  185.537   83.097
     707  -19.040  187.079   88.858
     708  -19.177  188.259   90.856
     709  -18.295  186.749   89.491
     710  -22.002  189.154   89.316
     711  -21.107  190.730   84.445
     712  -24.453  191.214   85.177
     713  -25.350  187.967   87.031
     714  -25.358  188.197   85.494
     715  -28.054  190.104   86.545
     716  -26.609  192.396   84.316
     717  -24.573  191.593   84.225
     718  -25.998  191.397   82.248
     719  -24.857  190.427   78.459
     720  -24.463  189.336   80.488
     721  -23.023  190.062   80.303
     722  -25.546  189.155   81.632
     723  -23.858  190.756   81.185
     724  -22.926  190.053   80.025
     725  -23.657  189.538   77.786
     726  -23.323  189.355   80.753
     727  -23.312  189.660   81.419
     728  -20.402  189.111   82.506
     729  -20.702  187.519   81.251
     730  -18.252  186.912   79.494
     731  -21.541  187.415   79.645
     732  -23.057  189.232   82.706
     733  -24.302  188.557   84.500
     734  -21.418  187.768   83.592
     735  -21.172  187.836   79.995
     736  -21.890  192.772   78.642
     737  -21.775  195.251   77.806
     738  -24.033  194.453   79.451
     739  -20.605  192.399   75.061
     740  -18.423  193.723   73.931
     741  -17.189  193.949   74.907
     742  -17.122  193.340   77.058
     743  -15.807  192.346   74.276
     744  -18.978  193.863   73.073
     745  -15.805  190.556   73.121
